排名,番剧,播放次数,弹幕数量
"1","【OVA】我的英雄学院OVA 01【F宅】空灵雨迹","667.7万","7.3万"
"2","【2017剧场版】精灵宝可梦 就决定是你了！【枫叶】真鱼","339.0万","13.2万"
"3","【OAD】干物妹！小埋 14 【喵萌奶茶屋】八云境界","317.2万","2.8万"
"4","【OVA】珈百璃的堕落OVA 01【F宅】空灵雨迹","156.7万","2.7万"
"5","【1月/WEB】幼女战记(谭雅战记) 短篇 第0话【F宅】空灵雨迹","141.9万","1128"
"6","【OVA】超级弹丸论破2.5：狛枝凪斗与世界的破坏者【F宅】空灵雨迹","119.5万","2.9万"
"7","【4月】巴哈姆特之怒 Virgin Soul 01【极影】真鱼","101.5万","1.3万"
"8","【OVA】夏目友人帐 伍 特别篇2(未放送第13话)【F宅】空灵雨迹","93.9万","3.2万"
"9","【长篇】精灵宝可梦 日月 56【枫叶】真鱼","83.8万","9839"
"10","【长篇】精灵宝可梦 日月 55【枫叶】真鱼","83.4万","1.8万"
"11","【OVA】夏目友人帐 伍 特别篇【F宅】空灵雨迹","78.8万","2.8万"
"12","【长篇】精灵宝可梦 日月 53【枫叶】真鱼","74.9万","1.1万"
"13","【剧场版/1080P/中字】Code Geass 反叛的鲁路修 兴道【自制中字】夏日幻听","74.8万","2.4万"
"14","【剧场版】3年E班 365天的时间【F宅】空灵雨迹","74.1万","4.4万"
"15","【长篇】精灵宝可梦 日月 79【枫叶】真鱼","73.3万","9111"
"16","【长篇】精灵宝可梦 日月 64【枫叶】真鱼","70.3万","1.2万"
"17","【长篇】精灵宝可梦 日月 66【枫叶】真鱼","69.8万","1.0万"
"18","【剧场版/1080P/中日双语】CODE GEASS 反叛的鲁路修 第三章 皇道【尽梨了字幕组】某壮QwQ","68.0万","2.0万"
"19","【长篇】精灵宝可梦 日月 17【枫叶】真鱼","64.6万","1.1万"
"20","【长篇】精灵宝可梦 日月 70【枫叶】真鱼","63.9万","8647"
"21","【OVA】我的英雄学院OVA 01【F宅】空灵雨迹","667.7万","7.3万"
"22","【2017剧场版】精灵宝可梦 就决定是你了！【枫叶】真鱼","339.0万","13.2万"
"23","【OAD】干物妹！小埋 14 【喵萌奶茶屋】八云境界","317.2万","2.8万"
"24","【OVA】珈百璃的堕落OVA 01【F宅】空灵雨迹","156.7万","2.7万"
"25","【1月/WEB】幼女战记(谭雅战记) 短篇 第0话【F宅】空灵雨迹","141.9万","1128"
"26","【OVA】超级弹丸论破2.5：狛枝凪斗与世界的破坏者【F宅】空灵雨迹","119.5万","2.9万"
"27","【4月】巴哈姆特之怒 Virgin Soul 01【极影】真鱼","101.5万","1.3万"
"28","【OVA】夏目友人帐 伍 特别篇2(未放送第13话)【F宅】空灵雨迹","93.9万","3.2万"
"29","【长篇】精灵宝可梦 日月 56【枫叶】真鱼","83.8万","9839"
"30","【长篇】精灵宝可梦 日月 55【枫叶】真鱼","83.4万","1.8万"
"31","【OVA】夏目友人帐 伍 特别篇【F宅】空灵雨迹","78.8万","2.8万"
"32","【长篇】精灵宝可梦 日月 53【枫叶】真鱼","74.9万","1.1万"
"33","【剧场版/1080P/中字】Code Geass 反叛的鲁路修 兴道【自制中字】夏日幻听","74.8万","2.4万"
"34","【剧场版】3年E班 365天的时间【F宅】空灵雨迹","74.1万","4.4万"
"35","【长篇】精灵宝可梦 日月 79【枫叶】真鱼","73.3万","9111"
"36","【长篇】精灵宝可梦 日月 64【枫叶】真鱼","70.3万","1.2万"
"37","【长篇】精灵宝可梦 日月 66【枫叶】真鱼","69.8万","1.0万"
"38","【剧场版/1080P/中日双语】CODE GEASS 反叛的鲁路修 第三章 皇道【尽梨了字幕组】某壮QwQ","68.0万","2.0万"
"39","【长篇】精灵宝可梦 日月 17【枫叶】真鱼","64.6万","1.1万"
"40","【长篇】精灵宝可梦 日月 70【枫叶】真鱼","63.9万","8647"
